Drug challenge idea: take shrooms or some LSD and watch the episode of courage the cowardly dog where he meets those banana people.	0
Austin pulliam making rude gestures toward me. Sexual harassment. And a communist.	0
Got my mind thinking, pretty girls drinking tall boys 	0
"""@XXX: I think white and have nigger lips"" mad smart act ignorant"	0
You need to swallow some make-up or something because honey on the inside your just plain ugly! #tiredofyourcrap	0
Bartender girl trying to get me drunk... Challenge accepted!	0
@XXX but chemistry is fun! You learn how to make LSD and meth!	0
Day number 4. Signs of a day off are becoming less apparent. I feel I may be working here everyday for the rest of my life. #mustfindescape	0
@XXX we all have been Jakob. That doesn't make it okay to screw someone else over. Fight fire with fire and you get burned.	0
Nobody knows why you're so god damn crabby all the time.	0
booty me down. #whores	0
When lunch ladies bitch at you for not having your card like shut up its your freaking job !!	0
Tasty China House: where all the Asian couples come to eat and Kim sits alone.	0
I just the officer that pulled me over back into a car at the kwik shop parking lot. I'm crying	0
@XXX @XXX u two r blowin up my newsfeed #haha #homos	0
Some little bitch just got beat 3 to 1 and he was using barca #fag	0
Well, back to the working grind. I can think of about 600 other things I would rather do with my time.	0
my professor brought his dog to class and it is currently humping my leg and no college prep class has prepared me for this situation	0
You really haven't had the full college experience until you've desperately sold your plasma for some fast cash.	0
@XXX one was still in highschool and could care less, one was a racist muslim, and the last one wrote a book on why we lost	0
I can't tell if I gotta pee or if my sex drive is high...	0
Well, today could quite possibly go down as the day the American constitution went to shambles...Hope Obama does something diff. this time	0
@XXX nigga! Im over here saying the same shit! Im like throw this nigga the ball!	0
"As the great orator Kanye once said, ""everyone knows imma moth** f****n monster!"" #Gameday"	0
Can't wait to enjoy some hockey with @XXX this weekend *insert hockey stick* lmao	0
@XXX my names christian i grew up in church lol i read the bible all the time im in fca and i go to youth group all the time	0
"""Think about it mother fucker is much more vulgar it means fucking ye mum in the cunt. Legit how cunt is """"more"""" offensive then mother fucker."""	0
"""What's that smell? It's like... Poison or something!"" ""Does it smell like hippie rank?"" ""It's patchouli and it's Jaydinn"""	0
Sometimes I feel like my life could be a fucking soap opera.	0
Got a new job as Office Coordinator for Global Community Office at Trinity International University. Sounds fun!	0
She got a big booty so I call her big booty!!!!!!!!!	0
#WorldSuicidePreventionDay when you're suicidal, take a nap. Sleep it off. Caring for yourself is #1 priority	0
This nigga bitchin bout workin at 8 tomorrow #BITCH #EVERYDAMNDAY	0
